Epoch,Accuracy,Time (s)
0,0.3157894736842105,1.880875825881958
1,0.7368421052631579,1.7919533252716064
2,0.7368421052631579,1.7991089820861816
3,0.7894736842105263,1.8585567474365234
4,0.7894736842105263,1.8103387355804443
5,0.7368421052631579,1.8166148662567139
6,0.8421052631578947,1.8365404605865479
7,0.7894736842105263,1.7880418300628662
8,0.7894736842105263,1.8317923545837402
9,0.7894736842105263,1.8402478694915771
10,0.8421052631578947,1.7942469120025635
11,0.8421052631578947,1.8488759994506836
12,0.7894736842105263,1.7939748764038086
13,0.7894736842105263,1.8112471103668213
14,0.8421052631578947,1.8174433708190918
15,0.8421052631578947,1.86875319480896
16,0.8947368421052632,1.931603193283081
17,0.7894736842105263,1.840369462966919
18,0.8947368421052632,1.8008596897125244
19,0.8421052631578947,1.8069415092468262
20,0.8421052631578947,1.8768343925476074
21,0.7894736842105263,1.8041183948516846
22,0.7894736842105263,1.793379545211792
23,0.7894736842105263,1.8736894130706787
24,0.8947368421052632,1.8345787525177002
25,0.8947368421052632,1.8313825130462646
26,0.7894736842105263,1.918865442276001
27,0.7894736842105263,1.9772698879241943
28,0.8421052631578947,1.9085633754730225
29,0.8421052631578947,1.8014411926269531
30,0.7894736842105263,1.8927032947540283
31,0.7894736842105263,1.8453269004821777
32,0.8421052631578947,1.840991497039795
33,0.8421052631578947,1.8269646167755127
34,0.7894736842105263,1.8419768810272217
35,0.7894736842105263,1.8235244750976562
36,0.7894736842105263,1.944897174835205
37,0.7368421052631579,1.791086196899414
38,0.7368421052631579,1.8382062911987305
39,0.7894736842105263,1.8841235637664795
40,0.7894736842105263,1.800386905670166
41,0.7894736842105263,1.8795335292816162
42,0.7894736842105263,1.9488213062286377
43,0.7368421052631579,1.8842179775238037
44,0.7368421052631579,1.7984178066253662
45,0.7368421052631579,1.793773889541626
46,0.7894736842105263,1.8498685359954834
47,0.7894736842105263,1.8300104141235352
48,0.7894736842105263,1.8857321739196777
49,0.7894736842105263,1.853358507156372
50,0.7894736842105263,1.8180561065673828
51,0.7894736842105263,1.8496313095092773
52,0.7894736842105263,1.8794286251068115
53,0.7894736842105263,1.8459558486938477
54,0.7894736842105263,1.8921775817871094
55,0.7894736842105263,1.7863273620605469
56,0.7894736842105263,1.8314673900604248
57,0.7894736842105263,1.9510164260864258
58,0.7894736842105263,1.8112080097198486
59,0.7894736842105263,1.795922040939331
60,0.7368421052631579,1.9289827346801758
61,0.7368421052631579,1.8929264545440674
62,0.7894736842105263,1.8926312923431396
63,0.7894736842105263,1.8299822807312012
64,0.7894736842105263,1.829395055770874
65,0.7894736842105263,1.834726095199585
66,0.7894736842105263,1.8473403453826904
67,0.7368421052631579,1.8547747135162354
68,0.7368421052631579,1.8015575408935547
69,0.7368421052631579,1.8460347652435303
70,0.7894736842105263,1.8448021411895752
71,0.7894736842105263,1.8116533756256104
72,0.7894736842105263,1.8391737937927246
73,0.7894736842105263,1.8321290016174316
74,0.7894736842105263,1.786801815032959
75,0.7894736842105263,1.8072617053985596
76,0.7894736842105263,1.8124887943267822
77,0.7894736842105263,1.9575753211975098
78,0.7894736842105263,1.9295213222503662
79,0.7894736842105263,1.8479413986206055
80,0.7894736842105263,1.813063621520996
81,0.7894736842105263,1.8642926216125488
82,0.7894736842105263,1.8169472217559814
83,0.7894736842105263,1.8363621234893799
84,0.7368421052631579,1.847968578338623
85,0.7368421052631579,1.85780668258667
86,0.7368421052631579,1.862260103225708
87,0.7894736842105263,2.009289503097534
88,0.7894736842105263,1.9236106872558594
89,0.7894736842105263,1.8788542747497559
90,0.7894736842105263,1.9896066188812256
91,0.7894736842105263,1.8185973167419434
92,0.7894736842105263,1.8329906463623047
93,0.7894736842105263,1.8294284343719482
94,0.7894736842105263,1.8415231704711914
95,0.7894736842105263,1.8099701404571533
96,0.7894736842105263,1.8148751258850098
97,0.7894736842105263,1.9036285877227783
98,0.7894736842105263,1.863454818725586
99,0.7894736842105263,1.905038833618164
100,0.7894736842105263,1.9133334159851074
101,0.7894736842105263,2.1006598472595215
102,0.7894736842105263,1.9396426677703857
103,0.7894736842105263,1.830923080444336
104,0.7894736842105263,1.860752820968628
105,0.7894736842105263,1.8653740882873535
106,0.7894736842105263,1.8152873516082764
107,0.7894736842105263,1.8790404796600342
108,0.7894736842105263,1.9360647201538086
109,0.7894736842105263,1.8567452430725098
110,0.7894736842105263,1.910754919052124
111,0.7894736842105263,1.8831112384796143
112,0.7894736842105263,1.8429515361785889
113,0.7894736842105263,1.8172802925109863
114,0.7894736842105263,1.8680353164672852
115,0.7894736842105263,1.9176819324493408
116,0.7894736842105263,1.9404973983764648
117,0.7894736842105263,1.823838472366333
118,0.7894736842105263,1.8218514919281006
119,0.7894736842105263,1.9260773658752441
120,0.7894736842105263,1.89634370803833
121,0.7894736842105263,1.8655030727386475
122,0.7894736842105263,1.855527400970459
123,0.7894736842105263,1.8633522987365723
124,0.7894736842105263,1.8500638008117676
125,0.7894736842105263,1.9244649410247803
126,0.7894736842105263,1.9055943489074707
127,0.7894736842105263,1.842301368713379
128,0.7894736842105263,1.854712724685669
129,0.7894736842105263,1.832610845565796
130,0.7894736842105263,1.9283020496368408
131,0.7368421052631579,1.9375360012054443
132,0.7368421052631579,1.851658582687378
133,0.7894736842105263,1.884608268737793
134,0.7894736842105263,1.8704860210418701
135,0.7894736842105263,1.8801298141479492
136,0.7894736842105263,1.8080089092254639
137,0.7894736842105263,1.8337900638580322
138,0.7894736842105263,1.9336457252502441
139,0.7894736842105263,1.9790799617767334
140,0.7894736842105263,1.962956190109253
141,0.7894736842105263,1.8894927501678467
142,0.7894736842105263,1.8828299045562744
143,0.7894736842105263,1.8797626495361328
144,0.7894736842105263,1.9260601997375488
145,0.7894736842105263,1.9366438388824463
146,0.7894736842105263,1.8866288661956787
147,0.7894736842105263,1.9121761322021484
148,0.7894736842105263,1.8920185565948486
149,0.7894736842105263,1.9168546199798584
